URL,Start Time,End Time
01i68fQIo1o, 100.000, 110.000
02Nbja5DOMs, 10.000, 20.000
0498hy13o1E, 10.000, 20.000
04RC7-oGGkc, 30.000, 40.000
05rXA1rZEdw, 10.000, 20.000
0CK-Bk-3j6o, 30.000, 40.000
0HCX9M3lo44, 7.000, 17.000
0IMorrErsv0, 50.000, 60.000
0IqfdY1oxmM, 70.000, 80.000
0J64KP79xkM, 30.000, 40.000
0JqaCkohyek, 10.000, 20.000
0L9F7PAINqo, 350.000, 360.000
0NvRnSZo_yw, 0.000, 10.000
0SrJ2zPEqLs, 30.000, 40.000
0WnknjrATdA, 40.000, 50.000
0be2VHPptTU, 30.000, 40.000
0dQdY_-Fh6I, 30.000, 40.000
0f2RYGzn0rM, 0.000, 10.000
0flU_95jm8E, 50.000, 60.000
0gXyg9t-flg, 10.000, 20.000
0hhMx1pf-Fk, 30.000, 40.000
0i51hDY_RPA, 80.000, 90.000
0iNKa0JNcHc, 140.000, 150.000
0kNNcMSL-L0, 30.000, 40.000
0kiMXnnrKjg, 12.000, 22.000
0mgIsS0wKro, 30.000, 40.000
0o1SCyEcbMU, 10.000, 20.000
0oBDjq-2eLA, 30.000, 40.000
0oc608_yMjs, 10.000, 20.000
0owfgo9Ou3s, 30.000, 40.000
0re4hMMjJ8Q, 40.000, 50.000
0tot80uZKTg, 120.000, 130.000
0uU9PiR8_C8, 10.000, 20.000
0uuCpTLL594, 27.000, 37.000
0v7SOVeMw0g, 30.000, 40.000
0wSKUsufri4, 10.000, 20.000
0xqPlD6lM9o, 30.000, 40.000
0y69IaalTjY, 10.000, 20.000
0y_8qBo3aHE, 70.000, 80.000
1-pnc4lFWh0, 30.000, 40.000
10ILs3Dvgds, 10.000, 20.000
116C4_1OP5I, 50.000, 60.000
11gGfPTUZcE, 30.000, 40.000
129Fy2Z1ItY, 30.000, 40.000
12bmrnsbXq8, 140.000, 150.000
14TnxreMZJA, 140.000, 150.000
1BuCw43a4_o, 70.000, 80.000
