URL,Start Time,End Time
-Ss70a9E8zk, 20.000, 30.000
-gH7QL3yvkA, 30.000, 40.000
05ly1nXX5Y0, 80.000, 90.000
1734G1jBMMo, 10.000, 20.000
1NOjAAinHL0, 210.000, 220.000
1Nh2fjXA7t8, 50.000, 60.000
1xFLZc2vBvs, 40.000, 50.000
2oiSz7tYupA, 140.000, 150.000
2tZ2qnJrrqE, 440.000, 450.000
2xtxC-KX20I, 210.000, 220.000
31EAM4WDk6A, 200.000, 210.000
3KMojwkTbqA, 30.000, 40.000
3Qu_OixtjSA, 50.000, 60.000
3dP-J_hk_m0, 60.000, 70.000
4nRZMEckRAg, 510.000, 520.000
569_ad7RCgo, 30.000, 40.000
5GTsKZsJE7c, 90.000, 100.000
5ITpZYH7Bb4, 30.000, 40.000
5Kwc6Wf212U, 10.000, 20.000
5ObU84_DO1A, 380.000, 390.000
5bK0BO_Ab4I, 410.000, 420.000
5ptjqWWz8W0, 160.000, 170.000
5uSq01PmRIk, 30.000, 40.000
60iNmg1szCM, 260.000, 270.000
6_nK3zsHmi0, 50.000, 60.000
6i0FRdFuZJg, 3.000, 13.000
7GLjZVJfwek, 120.000, 130.000
7I7uLjmc4c8, 10.000, 20.000
7ZS9PueQQ9g, 280.000, 290.000
7cngFHgwNsI, 60.000, 70.000
7meApyNqHYo, 100.000, 110.000
7xt6WcsDoLg, 120.000, 130.000
828nZrm_wyY, 420.000, 430.000
8StnROTP8RQ, 30.000, 40.000
8bjhGyBqjzY, 40.000, 50.000
8cTwtj-8B7U, 40.000, 50.000
8e5J0uzg_lU, 10.000, 20.000
8fILZTdMm9M, 470.000, 480.000
8j8FI-jfw6o, 10.000, 20.000
8q2fAaAlo-E, 30.000, 40.000
8rT9b4LNkCI, 10.000, 20.000
9PKqvmos6Vc, 330.000, 340.000
AiUjS--653M, 30.000, 40.000
Ann9urNVVXw, 0.000, 10.000
B9BV9qkhMxk, 30.000, 40.000
BwmLUHrpyvE, 210.000, 220.000
C8uargqLkIo, 470.000, 480.000
CBPJEN8ZvFg, 30.000, 40.000
CBRH_3_85Vs, 10.000, 20.000
CCV6DRn_ZV8, 10.000, 20.000
CNArNdKx0f0, 30.000, 40.000
CNI_hqKo7wc, 100.000, 110.000
CUSOu8tpO8w, 30.000, 40.000
Cgbh_Xs2Gk0, 40.000, 50.000
CmPeiW8W5zU, 20.000, 30.000
D20PForNfNE, 130.000, 140.000
D3VPVYbiKG8, 20.000, 30.000
DCYlWm3_i6g, 60.000, 70.000
DMW4f0ORiPQ, 20.000, 30.000
DRFbIyL3T74, 30.000, 40.000
DY9QUo-7ROQ, 190.000, 200.000
DZHULDem3VY, 60.000, 70.000
Dc6SqvcIt5o, 50.000, 60.000
Dg9Q7IeVxUg, 60.000, 70.000
E1P77Inx7rk, 40.000, 50.000
E2CiIN2a_pU, 0.000, 10.000
E7VauSejrT0, 50.000, 60.000
EnGkEztnq7Y, 7.000, 17.000
EyYf3XQyVpA, 210.000, 220.000
F28Y4wLycho, 0.000, 10.000
FJ_O9BrIzgs, 90.000, 100.000
FNj2nxG_lTU, 0.000, 10.000
FNyA1P1uMXo, 70.000, 80.000
Fbn9TNFqgyg, 250.000, 260.000
FcFhDJLUqhw, 40.000, 50.000
GHGs_hzNCPM, 70.000, 80.000
GjaN7rU05a8, 30.000, 40.000
Gzy-0Z3TRKQ, 50.000, 60.000
H6XOeJrZxAY, 30.000, 40.000
H9hO-vTcnWk, 250.000, 260.000
HHicgT1InbA, 450.000, 460.000
HT-gUVlvGvU, 20.000, 30.000
HuHHdesjg9E, 60.000, 70.000
IRRNOcSNyko, 30.000, 40.000
IpFB-SjGnkQ, 190.000, 200.000
Jatt11aCQ4w, 10.000, 20.000
Jk29ia9Bhrg, 20.000, 30.000
KAgnBVRM2Es, 10.000, 20.000
KLusBDraW0A, 80.000, 90.000
KZ4t6Aige6E, 30.000, 40.000
KiVl7yWPx7c, 30.000, 40.000
KpcsW6lpj4c, 30.000, 40.000
LYta1IG5RQQ, 30.000, 40.000
L_bpe2o47FU, 10.000, 20.000
Lt1XCibpDy0, 10.000, 20.000
M-frV0lOxxA, 30.000, 40.000
MDXjRgWh82g, 40.000, 50.000
N0HXXS-Byq4, 30.000, 40.000
N6Yo6EDGucE, 310.000, 320.000
NBN1yG-ZfJU, 470.000, 480.000
NSHTsBd7mx4, 20.000, 30.000
Nz8CGrkHqUk, 60.000, 70.000
O8AnBpeBvWE, 150.000, 160.000
OILNxF5o0CM, 120.000, 130.000
OVg55crMfMg, 300.000, 310.000
OX6ctDvrpWQ, 60.000, 70.000
OYTlWmpqhmQ, 160.000, 170.000
OhsSDu0wR70, 150.000, 160.000
Oos2cFimvZQ, 10.000, 20.000
PGKPSu0T6AU, 140.000, 150.000
PIsYNyv77F4, 570.000, 580.000
PW4EAYUbPYw, 0.000, 10.000
P_SnPYu2qXM, 140.000, 150.000
PmYeQxMZrmk, 270.000, 280.000
QbDmRZlNRFY, 0.000, 10.000
Qojgno50Bis, 550.000, 560.000
R-kbsBkzYzs, 240.000, 250.000
R6KLG6Klf48, 10.000, 20.000
Rg47Z9EtrMY, 150.000, 160.000
RoNYn9QJd4s, 170.000, 180.000
S241bkk6Xag, 130.000, 140.000
SV0vN630AYY, 160.000, 170.000
SeubOMAGAAU, 160.000, 170.000
SsWa6NKHkAI, 100.000, 110.000
T1IcC9UbdSE, 10.000, 20.000
T3pj38RTNuk, 100.000, 110.000
